id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
15883,b&b near Old Danube river,62142,Eva,,Donaustadt,48.24262,16.42767,Hotel room,110,1,14,2021-10-07,0.15,4,348,1,
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.21924,16.37831,Entire home/apt,69,5,350,2022-09-06,2.50,3,47,18,
392757,VCA3  Palais Brambilla - studio with city views,1833176,Markus,,Innere Stadt,48.21496,16.37161,Entire home/apt,100,2,100,2022-08-27,0.79,4,329,12,
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,145,1,181,2022-08-10,1.23,15,169,21,
392905,City Apartment 1- Palais Brambilla romantic style,1833176,Markus,,Innere Stadt,48.21351,16.37282,Entire home/apt,99,3,52,2022-08-22,0.43,4,324,10,
393961,City Apartment 2- Palais Brambilla - 1920ies style,1833176,Markus,,Innere Stadt,48.21318,16.37486,Entire home/apt,140,3,69,2022-07-21,0.61,4,337,5,
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21778,16.37847,Entire home/apt,68,5,347,2022-09-07,2.45,3,19,32,
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.2176,16.38018,Private room,50,2,117,2021-06-25,0.84,3,142,0,
75471,nice big apartment with balcony,363315,Wolfgang,,Ottakring,48.22207,16.31594,Entire home/apt,77,3,50,2019-01-02,0.37,1,0,0,
75500,Lovely Viennese apartment (2-4 p.),400857,Sabine,,Brigittenau,48.23493,16.36752,Entire home/apt,75,4,14,2019-12-01,0.10,1,293,0,
90247,Beautiful New Central Apartment,489611,Diana,,Neubau,48.20599,16.3489,Entire home/apt,98,1,669,2022-08-18,4.82,2,282,38,
397617,bright+colourful loft - near Hauptbahnhof,1986417,Mave,,Favoriten,48.17437,16.39339,Entire home/apt,87,5,178,2022-05-30,1.41,1,0,1,
98210,City Center Zimmer mit eigener privaten Dusche,518644,Michael,,Margareten,48.19408722598448,16.358569402703715,Private room,45,1,113,2022-09-02,0.82,33,72,19,
404083,nice apartment in central location,2015270,Christoph,,Leopoldstadt,48.2184,16.39906,Entire home/apt,75,2,226,2022-08-28,1.80,2,152,12,
109679,"Near Palace Schönbrunn, Apt. 4",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,85,1,125,2022-05-22,0.98,15,166,5,
111059,"Modern Apartment, 10min to the City",569644,Kateryna,,Hernals,48.22042,16.33377,Entire home/apt,71,5,156,2022-09-05,1.14,2,99,6,
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,85,1,120,2020-01-04,0.87,15,163,0,
121026,"Feels-Like-Home Apt with garage, balcony & aircon",608240,Andrei,,Leopoldstadt,48.2158,16.39034,Entire home/apt,81,3,333,2022-08-28,2.43,2,295,47,
404657,"Sunny, quiet and central apartment with terrace",1693552,Joseph,,Mariahilf,48.19447,16.35099,Entire home/apt,73,180,57,2021-09-14,0.80,1,174,1,
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.21543,16.30939,Entire home/apt,61,7,0,,,2,0,0,
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,144,1,5,2022-07-25,0.11,14,308,3,
421218,Studio Apartment Naschmarkt,2094710,Christina,,Mariahilf,48.1978,16.3572,Entire home/apt,65,120,168,2022-07-31,1.33,1,0,1,
422021,Designer Studio at the Heart of Vienna,518644,Michael,,Margareten,48.19353,16.36057,Entire home/apt,65,1,56,2022-08-16,0.69,33,354,1,
153988,City Center Apartment - Free Wifi unlimited,739130,Roman,,Alsergrund,48.21606,16.34875,Entire home/apt,52,1,144,2022-08-24,1.07,1,233,16,
163792,Apartment Vienna Simmering,651150,Klaus & Ligia,,Simmering,48.18022,16.41955,Entire home/apt,55,3,109,2022-03-16,0.81,1,69,3,
169672,In the Heart of Vienna - Naschmarkt,808772,Astrid,,Wieden,48.19527,16.36374,Private room,36,2,378,2022-09-04,2.80,1,231,14,
